file,seed,nodes,time,linearization time,simplex time
benchs_dataset/selected/hs088,1,1340,38.80539,0.2123095,17.61849
benchs_dataset/selected/ex6_2_12.bch,1,6518,3.214612,1.156959,0.6386114
benchs_dataset/selected/dualc8,1,192538,183.3145,81.48599,32.52175
benchs_dataset/selected/hs108,1,34282,56.61226,34.56696,5.246257
benchs_dataset/selected/hs102,1,873954,1087.85,431.3379,219.8028
benchs_dataset/selected/hs110,1,6182,2.454703,0.6292708,0.3837901
benchs_dataset/selected/polak6,1,5461770,3600,1199.034,405.412
benchs_dataset/selected/hs089,1,62054,3490.127,9.425632,2175.898
benchs_dataset/selected/hs111,1,2826730,3599.998,835.0179,1324.56
benchs_dataset/selected/odfits,1,18252,19.71914,7.06224,3.277077
benchs_dataset/selected/hs101,1,2120450,2625.451,1066.146,514.2692
benchs_dataset/selected/dixchlng,1,1336,2.24522,0.7200477,0.3429429
benchs_dataset/selected/robot,1,2699622,2801.054,1229.094,591.6073
benchs_dataset/selected/hs104,1,1530,2.621572,1.268193,0.291924
benchs_dataset/selected/hs090,1,38908,3599.907,6.261727,1855.95
benchs_dataset/selected/hs103,1,253060,338.5395,108.37,62.09284
benchs_dataset/selected/dualc5,1,53518,43.93482,22.14542,9.009742
benchs_dataset/selected/hs093,1,435784,263.1319,122.7592,28.62446
benchs_dataset/selected/ex6_2_9.bch,1,14354,8.042077,2.678591,2.057125
benchs_dataset/selected/haldmads,1,1872,2.314927,0.5263368,0.6027002
benchs_dataset/selected/hs113,1,5254,8.086025,4.639464,0.9061153
benchs_dataset/selected/dipigri,1,2528,2.267357,1.018252,0.2173451
benchs_dataset/selected/hs070,1,3449844,3599.999,0.4036253,2089.236
benchs_dataset/selected/hs100,1,2902,3.039509,1.298433,0.2783726
benchs_dataset/selected/hs112,1,3990094,3599.998,1269.214,540.5078
benchs_dataset/selected/s365mod,1,4749676,3600,1735.38,265.5132
benchs_dataset/selected/hs107,1,1033318,3599.997,1014.772,415.0154
benchs_dataset/selected/mistake,1,433194,649.8716,372.6383,64.47492
benchs_dataset/selected/cresc4,1,5314702,3600,1289.709,692.9507
